OneBody1_E-0.05_ecc0.4_RK4.txt
initial value : [x, y, v_x, v_y] = [54.00,0.00,0.00,0.48] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
 77|1.520771,3.706209,74.024795|1.520929,3.699474,74.124568,70.422626,95.008946,0.216674|1.520922,3.699950,74.124599,70.421964,95.008292,0.217122
 78|1.540781,2.241897,74.669593|1.540911,2.235150,74.769365,72.471934,97.008116,0.216886|1.540905,2.235630,74.769396,72.471265,97.007465,0.217287
 79|1.560791,0.753356,75.294889|1.560894,0.746598,75.394660,74.555145,99.008525,0.217098|1.560888,0.747082,75.394692,74.554469,99.007879,0.217451
 80|1.580801,-0.759410,75.899965|1.580877,-0.766175,75.999736,75.139902,98.990627,0.217311|1.580871,-0.765688,75.999768,75.140193,98.991266,0.217612
 81|1.600812,-2.296376,76.484085|1.600861,-2.303147,76.583855,74.216929,96.990140,0.217525|1.600854,-2.302658,76.583887,74.217220,96.990772,0.217772
 82|1.620822,-3.857497,77.046492|1.620845,-3.864271,77.146263,73.279451,94.990816,0.217739|1.620838,-3.863780,77.146295,73.279742,94.991439,0.217929
 83|1.640832,-5.442705,77.586413|1.640829,-5.449480,77.686183,72.327510,92.993455,0.217953|1.640823,-5.448989,77.686215,72.327800,92.994068,0.218084
 84|1.660842,-7.051910,78.103052|1.660814,-7.058683,78.202823,71.361162,90.998856,0.218167|1.660807,-7.058192,78.202855,71.361450,90.999459,0.218237
 85|1.680852,-8.684994,78.595598|1.680799,-8.691764,78.695368,70.380477,89.007819,0.218382|1.680793,-8.691274,78.695400,70.380763,89.008410,0.218388
 86|1.700862,-10.341815,79.063217|1.700784,-10.348579,79.162988,69.385543,87.021141,0.218596|1.700778,-10.348091,79.163020,69.385827,87.021720,0.218536
 87|1.720872,-12.022202,79.505061|1.720770,-12.028958,79.604833,68.376462,85.039618,0.218811|1.720764,-12.028473,79.604864,68.376744,85.040184,0.218683
 88|1.740883,-13.725952,79.920261|1.740756,-13.732698,80.020033,67.353358,83.064045,0.219026|1.740751,-13.732217,80.020065,67.353637,83.064596,0.218826
 89|1.760893,-15.452834,80.307931|1.760743,-15.459567,80.407704,66.316372,81.095213,0.219240|1.760737,-15.459091,80.407735,66.316647,81.095749,0.218967
 90|1.780903,-17.202580,80.667167|1.780730,-17.209298,80.766941,65.265664,79.133912,0.219455|1.780725,-17.208828,80.766972,65.265936,79.134432,0.219106
 91|1.800913,-18.974889,80.997051|1.800718,-18.981590,81.096826,64.201417,77.180928,0.219669|1.800713,-18.981127,81.096856,64.201684,77.181431,0.219242
 92|1.820923,-20.769423,81.296647|1.820706,-20.776105,81.396423,63.123835,75.237044,0.219883|1.820701,-20.775650,81.396453,63.124098,75.237529,0.219376
 93|1.840933,-22.585805,81.565004|1.840695,-22.592465,81.664782,62.033146,73.303041,0.220096|1.840690,-22.592020,81.664811,62.033403,73.303507,0.219507
 94|1.860943,-24.423616,81.801157|1.860684,-24.430253,81.900937,60.929603,71.379693,0.220310|1.860679,-24.429818,81.900965,60.929854,71.380141,0.219636
 95|1.880954,-26.282396,82.004130|1.880673,-26.289007,82.103911,59.813482,69.467773,0.220522|1.880669,-26.288584,82.103938,59.813727,69.468201,0.219762
 96|1.900964,-28.161641,82.172930|1.900663,-28.168224,82.272714,58.685088,67.568048,0.220734|1.900659,-28.167814,82.272740,58.685326,67.568456,0.219885
 97|1.920974,-30.060799,82.306560|1.920654,-30.067352,82.406345,57.544754,65.681281,0.220945|1.920649,-30.066957,82.406370,57.544985,65.681668,0.220006
 98|1.940984,-31.979271,82.404007|1.940645,-31.985792,82.503794,56.392842,63.808230,0.221156|1.940641,-31.985413,82.503818,56.393063,63.808595,0.220124
 99|1.960994,-33.916407,82.464254|1.960636,-33.922894,82.564044,55.229741,61.949645,0.221366|1.960632,-33.922532,82.564067,55.229954,61.949988,0.220240
100|1.981004,-35.871506,82.486278|1.980628,-35.877957,82.586070,54.055875,60.106274,0.221575|1.980624,-35.877613,82.586092,54.056078,60.106594,0.220353
101|2.001014,-37.843812,82.469051|2.000620,-37.850224,82.568845,52.871700,58.278856,0.221783|2.000617,-37.849900,82.568865,52.871892,58.279153,0.220463
102|2.021025,-39.832514,82.411540|2.020613,-39.838885,82.511337,51.677703,56.468127,0.221990|2.020610,-39.838582,82.511356,51.677884,56.468400,0.220571
103|2.041035,-41.836742,82.312716|2.040607,-41.843070,82.412516,50.474409,54.674813,0.222196|2.040604,-41.842789,82.412533,50.474577,54.675062,0.220676
104|2.061045,-43.855567,82.171550|2.060600,-43.861850,82.271353,49.262375,52.899635,0.222400|2.060598,-43.861594,82.271368,49.262530,52.899858,0.220779
105|2.081055,-45.888001,81.987018|2.080595,-45.894237,82.086823,48.042198,51.143305,0.222604|2.080592,-45.894007,82.086837,48.042338,51.143504,0.220879
106|2.101065,-47.932991,81.758101|2.100589,-47.939178,81.857910,46.814510,49.406531,0.222806|2.100587,-47.938975,81.857922,46.814635,49.406703,0.220977
107|2.121075,-49.989420,81.483794|2.120584,-49.995556,81.583606,45.579984,47.690009,0.223007|2.120583,-49.995382,81.583616,45.580092,47.690155,0.221072
108|2.141085,-52.056108,81.163102|2.140580,-52.062190,81.262917,44.339330,45.994430,0.223207|2.140579,-52.062047,81.262926,44.339420,45.994549,0.221164
109|2.161096,-54.131805,80.795047|2.160576,-54.137832,80.894865,43.093300,44.320475,0.223405|2.160575,-54.137720,80.894872,43.093370,44.320567,0.221254
110|2.181106,-56.215194,80.378670|2.180573,-56.221164,80.478492,41.842684,42.668817,0.223601|2.180572,-56.221086,80.478496,41.842734,42.668880,0.221342
111|2.201116,-58.304891,79.913035|2.200570,-58.310801,80.012860,40.588317,41.040120,0.223796|2.200569,-58.310758,80.012863,40.588344,41.040154,0.221427
