result_new_OneBody2_zook_numericalmethod_E-0.05_ecc0.75_EU1.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
400|0.003912994040239148,1.448951417337696e-05,99.62970773723715
401|0.0038894926499351,1.4456138128338125e-05,99.62832843690862
402|0.0038686518976973616,1.4430446945823405e-05,99.62699029720372
403|0.0038419878303441735,1.4408467691851001e-05,99.62497362490187
404|0.003818119575015544,1.4374417069973333e-05,99.62352103469901
405|0.003796827917381229,1.4345945768212687e-05,99.62215970593401
406|0.0037747682069486643,1.4326172880885224e-05,99.620475428014
407|0.003751701578107003,1.4302360463958053e-05,99.6187767026189
408|0.0037269877131871354,1.4275041067435268e-05,99.61698180498621
409|0.0037023976212609,1.4247289740865199e-05,99.61518747583861
410|0.0036798738205909842,1.421487331576543e-05,99.61371302363072
411|0.0036538627811477653,1.41929898802573e-05,99.61156204459876
412|0.003631062339533919,1.4159340345543114e-05,99.6100496487934
413|0.0036076387447980807,1.4133827736628746e-05,99.60822497105598
414|0.003583817672018874,1.4107895472292853e-05,99.6063444973096
415|0.0035605075573350575,1.4082996230513345e-05,99.60446661034321
416|0.003536602232562913,1.4055090327147468e-05,99.60258209991113
417|0.00351249629996353,1.4027748841627385e-05,99.60063306424627
418|0.003489094998033515,1.4002343014851704e-05,99.59868266634346
419|0.0034662942594332335,1.3977395175501783e-05,99.59676259055435
420|0.003439536146483846,1.3952071659772969e-05,99.59436182480489
421|0.0034172900898790104,1.3917906109384148e-05,99.5927209647608
422|0.0033920383313903457,1.3895508748973384e-05,99.59034930058476
423|0.003370783750811235,1.3864637974592142e-05,99.58868206922929
424|0.003346472520180832,1.3845084316344014e-05,99.58627826068042
425|0.003319506309308551,1.3818911220653263e-05,99.58370583053564
426|0.0032972171805942807,1.3783435269587585e-05,99.58196762558713
427|0.0032723984900862035,1.3762702016251183e-05,99.57943074298727
428|0.003248571030984415,1.3733229366152955e-05,99.57725322194997
429|0.0032259810508659115,1.370728399052723e-05,99.57509719448451
430|0.003201859307019994,1.368764348796958e-05,99.5725095272625
431|0.00317791909723919,1.3657078419271329e-05,99.57025090943517
432|0.0031525631401274623,1.3634014123908855e-05,99.56752605680222
433|0.0031285115441326283,1.3603141999496415e-05,99.56518805164684
434|0.003102973147742105,1.3578389539858904e-05,99.56240712074033
435|0.003079052678407912,1.3547881506426052e-05,99.55999838517114
436|0.003056630759718182,1.3521388346759977e-05,99.55763749665313
437|0.0030327105569565305,1.3500447197500876e-05,99.55483891575037
438|0.0030067341228185995,1.3474683880687621e-05,99.55184983672397
439|0.0029842372481274637,1.3447002794819696e-05,99.54939900293593
440|0.0029596101271351927,1.342352253530521e-05,99.54644287731578
441|0.0029329095732197885,1.3395067030685937e-05,99.54328400871968
442|0.002909870922407798,1.3365603280135474e-05,99.540680544377
443|0.0028848787613160454,1.3341154799562105e-05,99.53754885721867
444|0.002862682733453248,1.3313671662906756e-05,99.5349232554721
