OneBody4_E-0.05_plotinterval0.050_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [90.00,0.00,0.00,0.32] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
102|2.021025,-39.165394,81.031302|2.020804,-39.166656,81.079568,50.833344,56.481493,0.158114|2.020805,-39.166657,81.079310,50.833343,56.481492,0.158114
103|2.041035,-40.778893,80.231427|2.040804,-40.780144,80.279672,49.219856,54.688729,0.158114|2.040806,-40.780144,80.279410,49.219856,54.688729,0.158114
104|2.061045,-42.376065,79.399428|2.060805,-42.377304,79.447652,47.622696,52.914107,0.158114|2.060806,-42.377303,79.447387,47.622697,52.914108,0.158114
105|2.081055,-43.956269,78.535638|2.080805,-43.957496,78.583842,46.042504,51.158338,0.158114|2.080807,-43.957494,78.583572,46.042506,51.158340,0.158114
106|2.101065,-45.518874,77.640403|2.100806,-45.520088,77.688587,44.479912,49.422125,0.158114|2.100808,-45.520085,77.688313,44.479915,49.422128,0.158114
107|2.121075,-47.063253,76.714081|2.120807,-47.064454,76.762245,42.935546,47.706162,0.158114|2.120809,-47.064450,76.761967,42.935550,47.706167,0.158114
108|2.141085,-48.588789,75.757043|2.140808,-48.589976,75.805188,41.410024,46.011138,0.158114|2.140810,-48.589971,75.804906,41.410029,46.011144,0.158114
109|2.161096,-50.094870,74.769673|2.160809,-50.096042,74.817799,39.903958,44.337731,0.158114|2.160811,-50.096036,74.817513,39.903964,44.337737,0.158114
110|2.181106,-51.580893,73.752366|2.180810,-51.582051,73.800472,38.417949,42.686610,0.158114|2.180812,-51.582044,73.800183,38.417956,42.686618,0.158114
111|2.201116,-53.046264,72.705529|2.200811,-53.047407,72.753616,36.952593,41.058437,0.158114|2.200813,-53.047399,72.753323,36.952601,41.058446,0.158114
112|2.221126,-54.490395,71.629581|2.220813,-54.491523,71.677650,35.508477,39.453863,0.158114|2.220815,-54.491513,71.677353,35.508487,39.453874,0.158114
113|2.241136,-55.912709,70.524953|2.240814,-55.913821,70.573004,34.086179,37.873532,0.158114|2.240816,-55.913810,70.572703,34.086190,37.873544,0.158114
114|2.261146,-57.312636,69.392087|2.260816,-57.313732,69.440120,32.686268,36.318076,0.158114|2.260818,-57.313719,69.439816,32.686281,36.318090,0.158114
115|2.281156,-58.689615,68.231438|2.280818,-58.690695,68.279453,31.309305,34.788117,0.158114|2.280820,-58.690681,68.279145,31.309319,34.788132,0.158114
116|2.301167,-60.043095,67.043469|2.300820,-60.044158,67.091467,29.955842,33.284269,0.158114|2.300822,-60.044143,67.091155,29.955857,33.284286,0.158114
117|2.321177,-61.372535,65.828656|2.320822,-61.373581,65.876637,28.626419,31.807133,0.158114|2.320824,-61.373564,65.876322,28.626436,31.807151,0.158114
118|2.341187,-62.677401,64.587486|2.340824,-62.678429,64.635450,27.321571,30.357301,0.158114|2.340826,-62.678411,64.635132,27.321589,30.357321,0.158114
119|2.361197,-63.957172,63.320456|2.360826,-63.958182,63.368404,26.041818,28.935353,0.158114|2.360829,-63.958162,63.368082,26.041838,28.935375,0.158114
120|2.381207,-65.211335,62.028073|2.380829,-65.212327,62.076004,24.787673,27.541859,0.158114|2.380831,-65.212305,62.075679,24.787695,27.541883,0.158114
121|2.401217,-66.439388,60.710854|2.400832,-66.440361,60.758770,23.559639,26.177376,0.158114|2.400834,-66.440338,60.758441,23.559662,26.177402,0.158114
122|2.421227,-67.640839,59.369326|2.420835,-67.641793,59.417227,22.358207,24.842452,0.158114|2.420837,-67.641768,59.416896,22.358232,24.842480,0.158114
123|2.441238,-68.815207,58.004028|2.440838,-68.816142,58.051914,21.183858,23.537620,0.158114|2.440840,-68.816115,58.051580,21.183885,23.537650,0.158114
124|2.461248,-69.962022,56.615506|2.460841,-69.962937,56.663377,20.037063,22.263403,0.158114|2.460844,-69.962909,56.663039,20.037091,22.263435,0.158114
125|2.481258,-71.080825,55.204315|2.480844,-71.081720,55.252172,18.918280,21.020311,0.158114|2.480847,-71.081690,55.251831,18.918310,21.020345,0.158114
126|2.501268,-72.171167,53.771021|2.500848,-72.172042,53.818864,17.827958,19.808842,0.158114|2.500851,-72.172010,53.818520,17.827990,19.808878,0.158114
127|2.521278,-73.232613,52.316197|2.520851,-73.233468,52.364027,16.766532,18.629481,0.158114|2.520854,-73.233433,52.363680,16.766567,18.629519,0.158114
128|2.541288,-74.264737,50.840426|2.540855,-74.265571,50.888243,15.734429,17.482699,0.158114|2.540858,-74.265534,50.887893,15.734466,17.482740,0.158114
