OneBody4_E-0.10_plotinterval0.100_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [45.00,0.00,0.00,0.45] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
114|2.261146,-28.656318,34.696044|2.260072,-28.665457,34.783133,16.334543,36.298984,0.223607|2.260138,-28.664979,34.777886,16.335021,36.300046,0.223607
115|2.281156,-29.344807,34.115719|2.280050,-29.353840,34.202706,15.646160,34.769244,0.223607|2.280118,-29.353326,34.197392,15.646674,34.770387,0.223607
116|2.301167,-30.021548,33.521734|2.300028,-30.030471,33.608622,14.969529,33.265619,0.223607|2.300098,-30.029920,33.603240,14.970080,33.266845,0.223607
117|2.321177,-30.686267,32.914328|2.320007,-30.695080,33.001117,14.304920,31.788712,0.223607|2.320079,-30.694490,32.995670,14.305510,31.790022,0.223607
118|2.341187,-31.338701,32.293743|2.339986,-31.347399,32.380436,13.652601,30.339113,0.223607|2.340061,-31.346770,32.374924,13.653230,30.340510,0.223607
119|2.361197,-31.978586,31.660228|2.359965,-31.987169,31.746827,13.012831,28.917403,0.223607|2.360043,-31.986500,31.741251,13.013500,28.918889,0.223607
120|2.381207,-32.605668,31.014036|2.379946,-32.614132,31.100544,12.385868,27.524151,0.223607|2.380025,-32.613422,31.094905,12.386578,27.525729,0.223607
121|2.401217,-33.219694,30.355427|2.399927,-33.228038,30.441845,11.771962,26.159914,0.223607|2.400009,-33.227286,30.436144,11.772714,26.161586,0.223607
122|2.421227,-33.820419,29.684663|2.419908,-33.828642,29.770994,11.171358,24.825241,0.223607|2.419992,-33.827846,29.765232,11.172154,24.827008,0.223607
123|2.441238,-34.407603,29.002014|2.439890,-34.415702,29.088260,10.584298,23.520663,0.223607|2.439977,-34.414862,29.082438,10.585138,23.522528,0.223607
124|2.461248,-34.981011,28.307753|2.459873,-34.988983,28.393916,10.011017,22.246705,0.223607|2.459962,-34.988099,28.388036,10.011901,22.248669,0.223607
125|2.481258,-35.540412,27.602157|2.479856,-35.548256,27.688240,9.451744,21.003875,0.223607|2.479947,-35.547326,27.682302,9.452674,21.005941,0.223607
126|2.501268,-36.085584,26.885510|2.499840,-36.093297,26.971515,8.906703,19.792672,0.223607|2.499933,-36.092321,26.965521,8.907679,19.794842,0.223607
127|2.521278,-36.616306,26.158098|2.519824,-36.623889,26.244027,8.376111,18.613581,0.223607|2.519920,-36.622865,26.237978,8.377135,18.615856,0.223607
128|2.541288,-37.132368,25.420213|2.539809,-37.139817,25.506068,7.860183,17.467073,0.223607|2.539908,-37.138745,25.499965,7.861255,17.469456,0.223607
129|2.561298,-37.633563,24.672149|2.559795,-37.640876,24.757933,7.359124,16.353608,0.223607|2.559896,-37.639755,24.751778,7.360245,16.356100,0.223607
130|2.581309,-38.119689,23.914207|2.579782,-38.126866,23.999922,6.873134,15.273631,0.223607|2.579884,-38.125694,23.993716,6.874306,15.276235,0.223607
131|2.601319,-38.590552,23.146690|2.599769,-38.597591,23.232338,6.402409,14.227576,0.223607|2.599874,-38.596369,23.226082,6.403631,14.230292,0.223607
132|2.621329,-39.045964,22.369905|2.619757,-39.052863,22.455489,5.947137,13.215860,0.223607|2.619864,-39.051589,22.449185,5.948411,13.218691,0.223607
133|2.641339,-39.485743,21.584164|2.639745,-39.492500,21.669686,5.507500,12.238889,0.223607|2.639855,-39.491174,21.663335,5.508826,12.241836,0.223607
134|2.661349,-39.909711,20.789780|2.659734,-39.916326,20.875242,5.083674,11.297054,0.223607|2.659846,-39.914947,20.868847,5.085053,11.300119,0.223607
135|2.681359,-40.317700,19.987072|2.679724,-40.324171,20.072477,4.675829,10.390732,0.223607|2.679838,-40.322738,20.066038,4.677262,10.393916,0.223607
136|2.701369,-40.709546,19.176362|2.699715,-40.715871,19.261712,4.284129,9.520286,0.223607|2.699831,-40.714384,19.255231,4.285616,9.523591,0.223607
137|2.721380,-41.085092,18.357973|2.719707,-41.091271,18.443271,3.908729,8.686064,0.223607|2.719825,-41.089729,18.436749,3.910271,8.689492,0.223607
138|2.741390,-41.444189,17.532234|2.739699,-41.450219,17.617483,3.549781,7.888401,0.223607|2.739819,-41.448621,17.610922,3.551379,7.891953,0.223607
139|2.761400,-41.786691,16.699475|2.759692,-41.792573,16.784676,3.207427,7.127616,0.223607|2.759814,-41.790918,16.778078,3.209082,7.131293,0.223607
140|2.781410,-42.112462,15.860030|2.779685,-42.118194,15.945186,2.881806,6.404014,0.223607|2.779810,-42.116482,15.938553,2.883518,6.407818,0.223607
141|2.801420,-42.421371,15.014235|2.799680,-42.426952,15.099348,2.573048,5.717884,0.223607|2.799806,-42.425183,15.092681,2.574817,5.721815,0.223607
142|2.821430,-42.713296,14.162428|2.819675,-42.718725,14.247501,2.281275,5.069501,0.223607|2.819803,-42.716897,14.240802,2.283103,5.073561,0.223607
143|2.841440,-42.988118,13.304951|2.839671,-42.993394,13.389986,2.006606,4.459125,0.223607|2.839801,-42.991508,13.383257,2.008492,4.463315,0.223607
144|2.861451,-43.245728,12.442146|2.859668,-43.250850,12.527147,1.749150,3.886999,0.223607|2.859800,-43.248906,12.520388,1.751094,3.891321,0.223607
145|2.881461,-43.486023,11.574360|2.879666,-43.490991,11.659327,1.509009,3.353354,0.223607|2.879800,-43.488987,11.652543,1.511013,3.357807,0.223607
146|2.901471,-43.708906,10.701939|2.899664,-43.713719,10.786877,1.286281,2.858403,0.223607|2.899800,-43.711655,10.780067,1.288345,2.862989,0.223607
147|2.921481,-43.914289,9.825233|2.919663,-43.918945,9.910143,1.081055,2.402343,0.223607|2.919801,-43.916821,9.903310,1.083179,2.407064,0.223607
148|2.941491,-44.102089,8.944594|2.939663,-44.106589,9.029478,0.893411,1.985359,0.223607|2.939803,-44.104404,9.022624,0.895596,1.990213,0.223607
149|2.961501,-44.272230,8.060373|2.959664,-44.276573,8.145235,0.723427,1.607615,0.223607|2.959805,-44.274327,8.138361,0.725673,1.612606,0.223607
150|2.981511,-44.424646,7.172925|2.979666,-44.428831,7.257766,0.571169,1.269265,0.223607|2.979809,-44.426524,7.250875,0.573476,1.274391,0.223607
151|3.001522,-44.559274,6.282604|2.999668,-44.563301,6.367428,0.436699,0.970443,0.223607|2.999813,-44.560932,6.360521,0.439068,0.975706,0.223607
152|3.021532,-44.676061,5.389769|3.019672,-44.679929,5.474577,0.320071,0.711269,0.223607|3.019818,-44.677499,5.467657,0.322501,0.716669,0.223607
153|3.041542,-44.774960,4.494775|3.039676,-44.778669,4.579571,0.221331,0.491847,0.223607|3.039823,-44.776177,4.572638,0.223823,0.497385,0.223607
154|3.061552,-44.855931,3.597981|3.059681,-44.859481,3.682767,0.140519,0.312265,0.223607|3.059830,-44.856927,3.675825,0.143073,0.317940,0.223607
155|3.081562,-44.918942,2.699747|3.079687,-44.922333,2.784525,0.077667,0.172594,0.223607|3.079837,-44.919717,2.777575,0.080283,0.178407,0.223607
156|3.101572,-44.963968,1.800432|3.099693,-44.967199,1.885205,0.032801,0.072891,0.223607|3.099845,-44.964521,1.878248,0.035479,0.078842,0.223607
157|3.121583,-44.990991,0.900396|3.119701,-44.994062,0.985166,0.005938,0.013195,0.223607|3.119854,-44.991322,0.978206,0.008678,0.019285,0.223607
158|3.141593,-45.000000,0.000000|3.139709,-45.002911,0.084769,0.002911,0.006470,0.223607|3.139864,-45.000108,0.077807,0.000108,0.000241,0.223607
159|3.161603,-44.990991,-0.900396|3.159718,-44.993743,-0.815625,0.006257,0.013905,0.223607|3.159874,-44.990877,-0.822587,0.009123,0.020273,0.223607
160|3.181613,-44.963968,-1.800432|3.179728,-44.966560,-1.715656,0.033440,0.074311,0.223607|3.179885,-44.963632,-1.722617,0.036368,0.080817,0.223607
161|3.201623,-44.918942,-2.699747|3.199739,-44.921374,-2.614964,0.078626,0.174724,0.223607|3.199897,-44.918384,-2.621921,0.081616,0.181368,0.223607
162|3.221633,-44.855931,-3.597981|3.219751,-44.858203,-3.513188,0.141797,0.315103,0.223607|3.219910,-44.855151,-3.520140,0.144849,0.321886,0.223607
163|3.241643,-44.774960,-4.494775|3.239763,-44.777073,-4.409969,0.222927,0.495394,0.223607|3.239924,-44.773959,-4.416913,0.226041,0.502314,0.223607
